italian,dante
"A metà del percorso della vita umana, mi ritrovai per una oscura foresta, poiché avevo smarrito la giusta strada","Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita"
"Ahimè, è difficile descrivere com'era quella foresta, selvaggia, inestricabile e tremenda, tale che al solo pensiero fa tornare la paura",Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura
È così spaventosa che la morte lo è poco di più,Tant’è amara che poco è più morte
"Ma per descrivere il bene che vi trovai dentro, dirò quali altre cose ho visto in essa","Ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ho scorte"
"Non sono in grado di spiegare come vi sia entrato, tanto ero pieno di sonno nel momento in cui lasciai la giusta strada","Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai"
"Ma dopo che fui arrivato ai piedi di un colle, là dove finiva quella valle che mi aveva rattristato il cuore di paura, alzai lo sguardo e vidi la sua vetta già illuminata dai raggi del sole, che conduce ogni uomo sulla giusta strada","Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto, guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle"
"Allora si placò un poco la paura che avevo avuto nel profondo del cuore, quella notte che trascorsi con tanta angoscia","Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta"
"E come il naufrago che col respiro affannoso, gettato dal mare sulla riva, si volta e guarda alle acque pericolose da cui è scampato, così il mio animo, che ancora era in fuga, si voltò indietro ad osservare il passaggio che non lasciò mai passar vivo nessun uomo","E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata, così l’animo mio ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva"
"Dopo che ebbi riposato un poco il corpo stanco, ripresi a camminare lungo il pendio deserto del colle, in modo tale che il piede più saldo era sempre quello più basso","Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo era sempre ’l più basso"
"Ed ecco che apparve, quasi all'inizio della salita, una lonza snella e molto agile, ricoperta di pelo maculato","Ed ecco, quasi al cominciar de l’erta, una lonza leggiera e presta molto, che di pel macolato era coverta"
"E non si allontanava di fronte a me, anzi, impediva a tal punto il mio cammino che io pensai più volte di tornare indietro","E non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto"
"Erano le prime ore del mattino, e il sole stava sorgendo insieme a quella costellazione che era con lui il giorno della creazione, quando l'amore divino mosse per la prima volta quelle belle cose","Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino mosse di prima quelle cose belle"
