italian,medieval
"Se l'ira si aggiunge alla malvagità, essi ci verranno dietro più crudeli del cane contro la lepre che vuole azzannare""","Se l’ira sovra ’l mal voler s’aggueffa, ei ne verranno dietro più crudeli che ’l cane a quella lievre ch’elli acceffa’"
"E nel mio petto non si era ancora estinto l'ardore del sacrificio, quando mi accorsi che quella preghiera era stata bene accetta","E non er’anco del mio petto essausto l’ardor del sacrificio, ch’io conobbi esso litare stato accetto e fausto"
"Sotto ogni faccia uscivano due grandi ali, proporzionate a un essere tanto grande: non ho mai visto vele di navi così estese","Sotto ciascuna uscivan due grand’ali, quanto si convenia a tanto uccello: vele di mar non vid’io mai cotali"
"se tu non vieni ad accrescere la punizione per Montaperti, perché sei qui a tormentarmi","se tu non vieni a crescer la vendetta di Montaperti, perché mi moleste"
Ormai è tempo di allontanarsi dal bosco,Omai è tempo da scostarsi dal bosco
"Chi, non sapendo come ciò avvenga, potrebbe credere che il profumo di un frutto e dell'acqua riduca in tale stato, generando fame e sete","Chi crederebbe che l’odor d’un pomo sì governasse, generando brama, e quel d’un’acqua, non sappiendo como"
Tutti dicevano: 'Benedetto tu che vieni',Tutti dicean: ‘Benedictus qui venis’
non chiedetemi di portarvi giù tra quelle anime,tra color non vogliate ch’io vi guidi
Ma questa mia sonnolenza fu interrotta improvvisamente da delle anime che correvano dietro le nostre spalle,Ma questa sonnolenza mi fu tolta subitamente da gente che dopo le nostre spalle a noi era già volta
"così le parole misere si convertivano nel linguaggio del fuoco, perché all'inizio non trovavano una strada per uscire","così, per non aver via né forame dal principio nel foco, in suo linguaggio si convertian le parole grame"
"Così avendo paura dell'influsso passionale di venere non volli nessun'altra difesa che quella costituita dall'alloro, pianta sacra al cielo.","Tal che temendo de l' ardente lume non volsi al mio refugio ombra di poggi, ma de la pianta piú gradita in cielo."
E il maestro mi disse:,E ’l duca disse a me:
"Come Alessandro Magno nelle calde regioni dell'India vide cadere intatte sino a terra delle fiamme sulle sue truppe, per cui diede ordine ai soldati di scalpicciare il suolo in quanto il vapore si estingueva meglio prima di propagarsi:Così scendevano quelle fiamme eterne","Quali Alessandro in quelle parti calde d’India vide sopra ’l suo stuolo fiamme cadere infino a terra salde,  per ch’ei provide a scalpitar lo suolo con le sue schiere, acciò che lo vapore mei si stingueva mentre ch’era solo:  tale scendeva l’etternale ardore"
"il quale, se anche incontra difficoltà nelle prime battaglie con gli influssi astrali, poi vince ogni cosa, purché venga ben nutrito","che, se fatica ne le prime battaglie col ciel dura, poi vince tutto, se ben si notrica"
"O voi che siete in due dentro una sola fiamma, se ho acquisito meriti nei vostri confronti quand'ero vivo, se ho acquisito meriti grandi o piccoli presso di voi quando, sulla Terra, scrissi gli alti versi, non andate via","O voi che siete due dentro ad un foco, s’io meritai di voi mentre ch’io vissi, s’io meritai di voi assai o poco quando nel mondo li alti versi scrissi, non vi movete"
"allora l'ombra sorrise e si tirò in disparte, e io seguendola mi spinsi un po' lontano","per che l’ombra sorrise e si ritrasse, e io, seguendo lei, oltre mi pinsi"
"infatti, tutte quelle luci splendenti, diventando più luminose, iniziarono dei canti destinati a scomparire dalla mia memoria","però che tutte quelle vive luci, vie più lucendo, cominciaron canti da mia memoria labili e caduci"
sai se tra gli altri dannati sotto la pece ci siano degli italiani,de li altri rii conosci tu alcun che sia latino sotto la pece
"Da quel cerchio che io notai come più prezioso, vidi uscire una luce tanto gioiosa che non vi lasciò dentro nessun'altra più splendente","Di quella ch’io notai di più carezza vid’io uscire un foco sì felice, che nullo vi lasciò di più chiarezza"
allora io lasciai cadere il ramo spezzato e restai lì pieno di timore,"ond’io lasciai la cima cadere, e stetti come l’uom che teme"
"Più all'esterno ce n'era un settimo, talmente esteso che il messaggero di Giunone, benché tutto intero, sarebbe troppo piccolo per contenerlo","Sopra seguiva il settimo sì sparto già di larghezza, che ‘l messo di Iuno intero a contenerlo sarebbe arto"
"La quinta luce, che è la più bella fra noi, spira di un tale amore che tutto il mondo desidera conoscere il suo destino:dentro vi è l'alta mente dove fu infuso un sapere così profondo, che, se le Scritture dicono il vero, non ci fu un uomo più saggio di lui","La quinta luce, ch’è tra noi più bella, spira di tal amor, che tutto ‘l mondo là giù ne gola di saper novella: entro v’è l’alta mente u’ sì profondo saver fu messo, che, se ‘l vero è vero a veder tanto non surse il secondo"
bada al modo in cui entri e a chi ti stai affidando,guarda com’entri e di cui tu ti fide
"Ci sarebbe da stupirsi se tu, privo di impedimenti, fossi rimasto a terra, proprio come un fuoco che rimanesse quieto e non salisse verso l'alto","Maraviglia sarebbe in te se, privo d’impedimento, giù ti fossi assiso, com’a terra quiete in foco vivo"
Figlio mio,Figliuol mio
ma io scoppio se non riesco a liberarmi di un dubbio che mi assilla,"ma io scoppio dentro ad un dubbio, s’io non me ne spiego"
"Alzati in piedi: la via è lunga e il cammino è malagevole, e il sole è già a metà della terza ora","Lèvati sù in piede: la via è lunga e ’l cammino è malvagio, e già il sole a mezza terza riede"
